,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
40,40,0.826,2024-04-04 01:52:39.670808,2024-04-04 01:52:40.935393,0 days 00:00:01.264585,GIN,0.04701,1,1,208,COMPLETE
41,41,0.848,2024-04-04 01:52:40.961056,2024-04-04 01:52:41.688193,0 days 00:00:00.727137,GCN,0.01301,1,1,240,COMPLETE
42,42,0.849,2024-04-04 01:52:41.711126,2024-04-04 01:52:42.427256,0 days 00:00:00.716130,GCN,0.02501,1,1,224,COMPLETE
43,43,0.845,2024-04-04 01:52:42.451621,2024-04-04 01:52:43.186230,0 days 00:00:00.734609,GCN,0.03701,1,1,256,COMPLETE
44,44,0.851,2024-04-04 01:52:43.209008,2024-04-04 01:52:43.877434,0 days 00:00:00.668426,GCN,0.01601,1,1,240,COMPLETE
45,45,0.855,2024-04-04 01:52:43.902059,2024-04-04 01:52:44.500919,0 days 00:00:00.598860,GCN,0.01601,1,1,192,COMPLETE
46,46,0.716,2024-04-04 01:52:44.523529,2024-04-04 01:52:45.136256,0 days 00:00:00.612727,GCN,0.00301,1,1,176,COMPLETE
47,47,0.852,2024-04-04 01:52:45.159527,2024-04-04 01:52:45.985200,0 days 00:00:00.825673,GIN,0.01001,1,1,144,COMPLETE
48,48,0.817,2024-04-04 01:52:46.009916,2024-04-04 01:52:46.988462,0 days 00:00:00.978546,GCN,0.01901,3,1,192,COMPLETE
49,49,0.832,2024-04-04 01:52:47.010822,2024-04-04 01:52:47.818630,0 days 00:00:00.807808,GCN,0.00901,1,2,208,COMPLETE
50,50,0.54,2024-04-04 01:52:47.840686,2024-04-04 01:52:49.011961,0 days 00:00:01.171275,Graph_Sage,0.034010000000000006,1,2,224,COMPLETE
51,51,0.848,2024-04-04 01:52:49.035370,2024-04-04 01:52:49.831069,0 days 00:00:00.795699,GIN,0.01201,1,1,144,COMPLETE
52,52,0.85,2024-04-04 01:52:49.856349,2024-04-04 01:52:50.654274,0 days 00:00:00.797925,GIN,0.00901,1,1,128,COMPLETE
53,53,0.796,2024-04-04 01:52:50.676464,2024-04-04 01:52:51.370201,0 days 00:00:00.693737,GIN,0.00301,1,1,16,COMPLETE
54,54,0.846,2024-04-04 01:52:51.392173,2024-04-04 01:52:52.189733,0 days 00:00:00.797560,GIN,0.02401,1,1,112,COMPLETE
55,55,0.845,2024-04-04 01:52:52.216076,2024-04-04 01:52:53.040249,0 days 00:00:00.824173,GIN,0.01601,1,1,144,COMPLETE
56,56,0.844,2024-04-04 01:52:53.063488,2024-04-04 01:52:53.518153,0 days 00:00:00.454665,GCN,0.02901,1,1,64,COMPLETE
57,57,0.825,2024-04-04 01:52:53.541300,2024-04-04 01:52:54.486186,0 days 00:00:00.944886,GIN,0.00901,2,1,176,COMPLETE
58,58,0.849,2024-04-04 01:52:54.512243,2024-04-04 01:52:55.187742,0 days 00:00:00.675499,GCN,0.02001,1,1,224,COMPLETE
59,59,0.853,2024-04-04 01:52:55.210254,2024-04-04 01:52:55.831811,0 days 00:00:00.621557,GCN,0.01401,1,1,192,COMPLETE
60,60,0.671,2024-04-04 01:52:55.854675,2024-04-04 01:52:56.518529,0 days 00:00:00.663854,GCN,0.07201,1,2,192,COMPLETE
61,61,0.855,2024-04-04 01:52:56.541939,2024-04-04 01:52:57.152284,0 days 00:00:00.610345,GCN,0.01301,1,1,160,COMPLETE
62,62,0.093,2024-04-04 01:52:57.174268,2024-04-04 01:52:57.824109,0 days 00:00:00.649841,GCN,1e-05,1,1,160,COMPLETE
63,63,0.85,2024-04-04 01:52:57.846584,2024-04-04 01:52:58.442456,0 days 00:00:00.595872,GCN,0.01401,1,1,176,COMPLETE
64,64,0.845,2024-04-04 01:52:58.466373,2024-04-04 01:52:59.121462,0 days 00:00:00.655089,GCN,0.02201,1,1,208,COMPLETE
65,65,0.854,2024-04-04 01:52:59.145427,2024-04-04 01:52:59.798237,0 days 00:00:00.652810,GCN,0.01801,1,1,192,COMPLETE
66,66,0.85,2024-04-04 01:52:59.820430,2024-04-04 01:53:00.421757,0 days 00:00:00.601327,GCN,0.01901,1,1,176,COMPLETE
67,67,0.845,2024-04-04 01:53:00.444108,2024-04-04 01:53:01.182667,0 days 00:00:00.738559,GCN,0.02801,1,1,256,COMPLETE
68,68,0.861,2024-04-04 01:53:01.204211,2024-04-04 01:53:02.096690,0 days 00:00:00.892479,GCN,0.00501,2,1,224,COMPLETE
69,69,0.848,2024-04-04 01:53:02.118486,2024-04-04 01:53:02.785252,0 days 00:00:00.666766,GCN,0.00501,1,1,224,COMPLETE
70,70,0.757,2024-04-04 01:53:02.808333,2024-04-04 01:53:03.497137,0 days 00:00:00.688804,GCN,0.00301,1,1,240,COMPLETE
71,71,0.869,2024-04-04 01:53:03.521744,2024-04-04 01:53:04.489399,0 days 00:00:00.967655,GCN,0.00701,2,1,224,COMPLETE
72,72,0.861,2024-04-04 01:53:04.516528,2024-04-04 01:53:05.517831,0 days 00:00:01.001303,GCN,0.00801,2,1,224,COMPLETE
73,73,0.861,2024-04-04 01:53:05.539777,2024-04-04 01:53:06.480304,0 days 00:00:00.940527,GCN,0.00701,2,1,208,COMPLETE
74,74,0.862,2024-04-04 01:53:06.501659,2024-04-04 01:53:07.417794,0 days 00:00:00.916135,GCN,0.00701,2,1,224,COMPLETE
75,75,0.867,2024-04-04 01:53:07.439666,2024-04-04 01:53:08.271101,0 days 00:00:00.831435,GCN,0.00701,2,1,208,COMPLETE
76,76,0.86,2024-04-04 01:53:08.294841,2024-04-04 01:53:09.555209,0 days 00:00:01.260368,Graph_Sage,0.00601,2,1,224,COMPLETE
77,77,0.853,2024-04-04 01:53:09.582188,2024-04-04 01:53:10.823238,0 days 00:00:01.241050,Graph_Sage,0.00701,2,1,208,COMPLETE
78,78,0.076,2024-04-04 01:53:10.849269,2024-04-04 01:53:12.124288,0 days 00:00:01.275019,Graph_Sage,1e-05,2,1,224,COMPLETE
79,79,0.856,2024-04-04 01:53:12.146755,2024-04-04 01:53:13.571032,0 days 00:00:01.424277,Graph_Sage,0.00301,2,1,240,COMPLETE
80,80,0.862,2024-04-04 01:53:13.596173,2024-04-04 01:53:14.822304,0 days 00:00:01.226131,Graph_Sage,0.00301,2,1,208,COMPLETE
81,81,0.854,2024-04-04 01:53:14.844557,2024-04-04 01:53:16.029811,0 days 00:00:01.185254,Graph_Sage,0.00301,2,1,208,COMPLETE
82,82,0.86,2024-04-04 01:53:16.053743,2024-04-04 01:53:17.303885,0 days 00:00:01.250142,Graph_Sage,0.00601,2,1,224,COMPLETE
83,83,0.849,2024-04-04 01:53:17.326501,2024-04-04 01:53:18.591055,0 days 00:00:01.264554,Graph_Sage,0.00701,2,1,208,COMPLETE
84,84,0.848,2024-04-04 01:53:18.618177,2024-04-04 01:53:20.043811,0 days 00:00:01.425634,Graph_Sage,0.00601,2,1,224,COMPLETE
85,85,0.862,2024-04-04 01:53:20.080104,2024-04-04 01:53:21.367597,0 days 00:00:01.287493,Graph_Sage,0.00501,2,1,224,COMPLETE
86,86,0.839,2024-04-04 01:53:21.391347,2024-04-04 01:53:22.618734,0 days 00:00:01.227387,Graph_Sage,0.00201,2,1,208,COMPLETE
87,87,0.25,2024-04-04 01:53:22.643885,2024-04-04 01:53:24.150777,0 days 00:00:01.506892,Graph_Sage,1e-05,2,1,256,COMPLETE
88,88,0.843,2024-04-04 01:53:24.176720,2024-04-04 01:53:25.553346,0 days 00:00:01.376626,Graph_Sage,0.011009999999999999,2,1,240,COMPLETE
89,89,0.85,2024-04-04 01:53:25.579451,2024-04-04 01:53:26.864242,0 days 00:00:01.284791,Graph_Sage,0.00801,2,1,224,COMPLETE
90,90,0.86,2024-04-04 01:53:26.889168,2024-04-04 01:53:28.154963,0 days 00:00:01.265795,Graph_Sage,0.00501,2,1,208,COMPLETE
91,91,0.869,2024-04-04 01:53:28.177917,2024-04-04 01:53:29.466178,0 days 00:00:01.288261,Graph_Sage,0.00501,2,1,224,COMPLETE
92,92,0.839,2024-04-04 01:53:29.491527,2024-04-04 01:53:30.829141,0 days 00:00:01.337614,Graph_Sage,0.011009999999999999,2,1,224,COMPLETE
