,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
37,37,0.7515151515151515,2024-04-04 01:55:58.176085,2024-04-04 01:55:58.945437,0 days 00:00:00.769352,GCN,0.06801,1,3,64,COMPLETE
38,38,0.8181818181818182,2024-04-04 01:55:58.967279,2024-04-04 01:55:59.843995,0 days 00:00:00.876716,GCN,0.07201,2,3,32,COMPLETE
39,39,0.3393939393939394,2024-04-04 01:55:59.871450,2024-04-04 01:56:00.765193,0 days 00:00:00.893743,GCN,1e-05,2,3,16,COMPLETE
40,40,0.7575757575757576,2024-04-04 01:56:00.792383,2024-04-04 01:56:01.678886,0 days 00:00:00.886503,GCN,0.08001,2,3,32,COMPLETE
41,41,0.7757575757575758,2024-04-04 01:56:01.703242,2024-04-04 01:56:02.613601,0 days 00:00:00.910359,GCN,0.08101,2,3,32,COMPLETE
42,42,0.8,2024-04-04 01:56:02.636270,2024-04-04 01:56:03.551618,0 days 00:00:00.915348,GCN,0.09301,2,3,32,COMPLETE
43,43,0.6606060606060606,2024-04-04 01:56:03.576453,2024-04-04 01:56:04.538268,0 days 00:00:00.961815,GCN,0.09901,2,3,32,COMPLETE
44,44,0.6606060606060606,2024-04-04 01:56:04.561547,2024-04-04 01:56:05.487682,0 days 00:00:00.926135,GCN,0.09401,2,3,16,COMPLETE
45,45,0.7393939393939394,2024-04-04 01:56:05.514587,2024-04-04 01:56:06.688606,0 days 00:00:01.174019,GCN,0.08800999999999999,3,3,48,COMPLETE
46,46,0.7454545454545455,2024-04-04 01:56:06.712343,2024-04-04 01:56:07.684503,0 days 00:00:00.972160,GCN,0.09000999999999999,2,3,32,COMPLETE
47,47,0.6606060606060606,2024-04-04 01:56:07.713613,2024-04-04 01:56:08.898710,0 days 00:00:01.185097,GCN,0.07201,2,3,192,COMPLETE
48,48,0.6606060606060606,2024-04-04 01:56:08.926926,2024-04-04 01:56:10.056261,0 days 00:00:01.129335,GCN,0.08101,3,3,80,COMPLETE
49,49,0.793939393939394,2024-04-04 01:56:10.082209,2024-04-04 01:56:10.935983,0 days 00:00:00.853774,GCN,0.08701,2,3,16,COMPLETE
50,50,0.7636363636363637,2024-04-04 01:56:10.959078,2024-04-04 01:56:11.793276,0 days 00:00:00.834198,GCN,0.09401,2,3,16,COMPLETE
51,51,0.8121212121212121,2024-04-04 01:56:11.816817,2024-04-04 01:56:12.690870,0 days 00:00:00.874053,GCN,0.08401,2,3,48,COMPLETE
52,52,0.7333333333333333,2024-04-04 01:56:12.713859,2024-04-04 01:56:13.626068,0 days 00:00:00.912209,GCN,0.08501,2,3,32,COMPLETE
53,53,0.8363636363636363,2024-04-04 01:56:13.649834,2024-04-04 01:56:14.621833,0 days 00:00:00.971999,GCN,0.07601,2,3,48,COMPLETE
54,54,0.7757575757575758,2024-04-04 01:56:14.643934,2024-04-04 01:56:15.530140,0 days 00:00:00.886206,GCN,0.07601,2,3,48,COMPLETE
55,55,0.7636363636363637,2024-04-04 01:56:15.552282,2024-04-04 01:56:16.413872,0 days 00:00:00.861590,GCN,0.08601,2,3,16,COMPLETE
56,56,0.7636363636363637,2024-04-04 01:56:16.435552,2024-04-04 01:56:17.325539,0 days 00:00:00.889987,GCN,0.09201,2,3,48,COMPLETE
57,57,0.7212121212121212,2024-04-04 01:56:17.348788,2024-04-04 01:56:18.239691,0 days 00:00:00.890903,GCN,0.07801,2,3,32,COMPLETE
58,58,0.7090909090909091,2024-04-04 01:56:18.263287,2024-04-04 01:56:19.128151,0 days 00:00:00.864864,GCN,0.09601,2,3,32,COMPLETE
59,59,0.7090909090909091,2024-04-04 01:56:19.151263,2024-04-04 01:56:20.010320,0 days 00:00:00.859057,GCN,0.08101,2,3,16,COMPLETE
60,60,0.8242424242424242,2024-04-04 01:56:20.033493,2024-04-04 01:56:20.941253,0 days 00:00:00.907760,GCN,0.08800999999999999,2,3,48,COMPLETE
61,61,0.6606060606060606,2024-04-04 01:56:20.962958,2024-04-04 01:56:21.860940,0 days 00:00:00.897982,GCN,0.08701,2,3,48,COMPLETE
62,62,0.6606060606060606,2024-04-04 01:56:21.885089,2024-04-04 01:56:22.797316,0 days 00:00:00.912227,GCN,0.09101,2,3,64,COMPLETE
63,63,0.7393939393939394,2024-04-04 01:56:22.818957,2024-04-04 01:56:23.687282,0 days 00:00:00.868325,GCN,0.08301,2,3,16,COMPLETE
64,64,0.8,2024-04-04 01:56:23.709499,2024-04-04 01:56:24.867179,0 days 00:00:01.157680,GCN,0.07701,2,3,256,COMPLETE
65,65,0.6787878787878788,2024-04-04 01:56:24.892670,2024-04-04 01:56:26.084697,0 days 00:00:01.192027,GCN,0.09901,2,3,256,COMPLETE
66,66,0.7151515151515152,2024-04-04 01:56:26.105114,2024-04-04 01:56:27.280270,0 days 00:00:01.175156,GCN,0.07601,2,3,240,COMPLETE
67,67,0.6848484848484848,2024-04-04 01:56:27.303837,2024-04-04 01:56:28.475522,0 days 00:00:01.171685,GCN,0.07101,2,3,240,COMPLETE
68,68,0.6606060606060606,2024-04-04 01:56:28.498271,2024-04-04 01:56:29.449276,0 days 00:00:00.951005,GCN,0.09301,2,3,80,COMPLETE
69,69,0.696969696969697,2024-04-04 01:56:29.474246,2024-04-04 01:56:30.467306,0 days 00:00:00.993060,GCN,0.08800999999999999,2,3,48,COMPLETE
70,70,0.7454545454545455,2024-04-04 01:56:30.511407,2024-04-04 01:56:31.473183,0 days 00:00:00.961776,GCN,0.07801,2,2,96,COMPLETE
71,71,0.6606060606060606,2024-04-04 01:56:31.494798,2024-04-04 01:56:32.408759,0 days 00:00:00.913961,GCN,0.08301,2,3,32,COMPLETE
72,72,0.6606060606060606,2024-04-04 01:56:32.428868,2024-04-04 01:56:33.358398,0 days 00:00:00.929530,GCN,0.08501,2,3,64,COMPLETE
73,73,0.7090909090909091,2024-04-04 01:56:33.378444,2024-04-04 01:56:34.278238,0 days 00:00:00.899794,GCN,0.07801,2,3,48,COMPLETE
74,74,0.6606060606060606,2024-04-04 01:56:34.299115,2024-04-04 01:56:35.327735,0 days 00:00:01.028620,GCN,0.07501,2,3,144,COMPLETE
75,75,0.7272727272727273,2024-04-04 01:56:35.348708,2024-04-04 01:56:36.290965,0 days 00:00:00.942257,GCN,0.07001,2,3,32,COMPLETE
76,76,0.6606060606060606,2024-04-04 01:56:36.312771,2024-04-04 01:56:37.191880,0 days 00:00:00.879109,GCN,0.08101,2,3,16,COMPLETE
77,77,0.6909090909090909,2024-04-04 01:56:37.211737,2024-04-04 01:56:38.243406,0 days 00:00:01.031669,GCN,0.06401,2,3,176,COMPLETE
78,78,0.6606060606060606,2024-04-04 01:56:38.263516,2024-04-04 01:56:39.174760,0 days 00:00:00.911244,GCN,0.09701,2,3,48,COMPLETE
79,79,0.7454545454545455,2024-04-04 01:56:39.196064,2024-04-04 01:56:40.440275,0 days 00:00:01.244211,GCN,0.08800999999999999,2,3,64,COMPLETE
80,80,0.6606060606060606,2024-04-04 01:56:40.461841,2024-04-04 01:56:41.604968,0 days 00:00:01.143127,GCN,0.09000999999999999,2,3,32,COMPLETE
81,81,0.7878787878787878,2024-04-04 01:56:41.625557,2024-04-04 01:56:42.542091,0 days 00:00:00.916534,GCN,0.07501,2,3,48,COMPLETE
82,82,0.6787878787878788,2024-04-04 01:56:42.565021,2024-04-04 01:56:43.529683,0 days 00:00:00.964662,GCN,0.07300999999999999,2,3,48,COMPLETE
83,83,0.6606060606060606,2024-04-04 01:56:43.552284,2024-04-04 01:56:44.679972,0 days 00:00:01.127688,GCN,0.06701,2,3,192,COMPLETE
84,84,0.7696969696969697,2024-04-04 01:56:44.709414,2024-04-04 01:56:45.572452,0 days 00:00:00.863038,GCN,0.08301,2,3,16,COMPLETE
85,85,0.6606060606060606,2024-04-04 01:56:45.591766,2024-04-04 01:56:46.588619,0 days 00:00:00.996853,GCN,0.08001,2,3,32,COMPLETE
86,86,0.6909090909090909,2024-04-04 01:56:46.610568,2024-04-04 01:56:47.649482,0 days 00:00:01.038914,GCN,0.08601,2,3,64,COMPLETE
87,87,0.7515151515151515,2024-04-04 01:56:47.675135,2024-04-04 01:56:48.614767,0 days 00:00:00.939632,GCN,0.02301,2,3,32,COMPLETE
88,88,0.7333333333333333,2024-04-04 01:56:48.634453,2024-04-04 01:56:49.555296,0 days 00:00:00.920843,GCN,0.06101,2,3,48,COMPLETE
89,89,0.806060606060606,2024-04-04 01:56:49.581904,2024-04-04 01:56:50.439549,0 days 00:00:00.857645,GCN,0.09501,2,3,16,COMPLETE
90,90,0.6606060606060606,2024-04-04 01:56:50.460640,2024-04-04 01:56:51.325072,0 days 00:00:00.864432,GCN,0.09501,2,2,16,COMPLETE
91,91,0.7454545454545455,2024-04-04 01:56:51.345087,2024-04-04 01:56:52.225367,0 days 00:00:00.880280,GCN,0.09201,2,3,16,COMPLETE
92,92,0.6606060606060606,2024-04-04 01:56:52.255566,2024-04-04 01:56:53.150575,0 days 00:00:00.895009,GCN,0.08900999999999999,2,3,32,COMPLETE
93,93,0.6606060606060606,2024-04-04 01:56:53.171414,2024-04-04 01:56:54.031772,0 days 00:00:00.860358,GCN,0.09701,2,3,32,COMPLETE
94,94,0.7090909090909091,2024-04-04 01:56:54.058223,2024-04-04 01:56:55.057366,0 days 00:00:00.999143,GCN,0.07400999999999999,2,3,16,COMPLETE
95,95,0.8303030303030303,2024-04-04 01:56:55.079251,2024-04-04 01:56:55.985244,0 days 00:00:00.905993,GCN,0.07701,2,3,32,COMPLETE
96,96,0.6606060606060606,2024-04-04 01:56:56.009443,2024-04-04 01:56:56.930595,0 days 00:00:00.921152,GCN,0.07001,2,3,48,COMPLETE
97,97,0.6606060606060606,2024-04-04 01:56:56.953763,2024-04-04 01:56:57.983623,0 days 00:00:01.029860,GCN,0.07701,2,3,160,COMPLETE
98,98,0.8,2024-04-04 01:56:58.006547,2024-04-04 01:56:58.774314,0 days 00:00:00.767767,GIN,0.08401,2,3,48,COMPLETE
99,99,0.6606060606060606,2024-04-04 01:56:58.798211,2024-04-04 01:56:59.580841,0 days 00:00:00.782630,GIN,0.08401,2,3,80,COMPLETE
100,100,0.7818181818181819,2024-04-04 01:56:59.602333,2024-04-04 01:57:00.349368,0 days 00:00:00.747035,GIN,0.09201,2,3,16,COMPLETE
101,101,0.6666666666666666,2024-04-04 01:57:00.370677,2024-04-04 01:57:01.169934,0 days 00:00:00.799257,GIN,0.07901,2,3,64,COMPLETE
102,102,0.6606060606060606,2024-04-04 01:57:01.192516,2024-04-04 01:57:01.946308,0 days 00:00:00.753792,GIN,0.08701,2,3,48,COMPLETE
103,103,0.6606060606060606,2024-04-04 01:57:01.970297,2024-04-04 01:57:02.718748,0 days 00:00:00.748451,GIN,0.08201,2,3,32,COMPLETE
104,104,0.7757575757575758,2024-04-04 01:57:02.741612,2024-04-04 01:57:03.648873,0 days 00:00:00.907261,GCN,0.07400999999999999,2,3,48,COMPLETE
105,105,0.6606060606060606,2024-04-04 01:57:03.671664,2024-04-04 01:57:04.456768,0 days 00:00:00.785104,Graph_Sage,0.09401,2,3,48,COMPLETE
106,106,0.7393939393939394,2024-04-04 01:57:04.480580,2024-04-04 01:57:05.404239,0 days 00:00:00.923659,GCN,0.08501,2,3,64,COMPLETE
107,107,0.7212121212121212,2024-04-04 01:57:05.426948,2024-04-04 01:57:06.319681,0 days 00:00:00.892733,GCN,0.07901,2,3,32,COMPLETE
